from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
1501,WAIK,2,240,281__0__405__UZM__708__708,KPL__1__6425__RAIL____Total_Day_Count
PORI2,2001,2,0,KPL__0__6448__RAIL____Total_Day_Count,210__0__417__TZM__307__1__307__1
3081,3081,2,120,19__0__447__TZM__108__1__108__1,1__1__504__TZM__103__1__103__1
8580,UPPE,2,240,110__1__480__TZM__513__1__513__1,HVL__1__3857__RAIL____Total_Day_Count
TREN,9525,2,240,HVL__0__3838__RAIL____Total_Day_Count,114__1__412__TZM__502__1__502__1
TREN,9525,2,240,HVL__0__3850__RAIL____Total_Day_Count,114__1__418__TZM__504__1__504__1
PORI2,2003,2,0,KPL__0__6420__RAIL____Total_Day_Count,220__1__408__TZM__303__1__303__1
8251,TAIT1,2,0,120__1__484__TZM__415__1__415__1,HVL__1__3867__RAIL____Total_Day_Count
1001,PARA1,2,0,250__0__423__UZM__705__705,KPL__1__6459__RAIL____Total_Day_Count
PARA2,1001,2,240,KPL__0__6452__RAIL____Total_Day_Count,262__0__421__UZM__705__705
1001,PARA1,2,0,262__1__420__UZM__705__705,KPL__1__6457__RAIL____Total_Day_Count
PORI2,2001,2,0,KPL__0__6432__RAIL____Total_Day_Count,210__0__409__TZM__311__311
6055,6017,2,240,1__1__438__TZM__201__1__201__1,23__0__411__TZM__117__1__117__1
PORI2,2001,2,0,KPL__0__6444__RAIL____Total_Day_Count,210__0__415__TZM__305__1__305__1
5915,5915,2,0,22__0__407__NBM__32__2__32__2,21__0__407__NBM__31__2__31__2
WATE2,9165,2,0,HVL__0__3844__RAIL____Total_Day_Count,130__0__451__TZM__414__414
TAIT2,9251,2,0,HVL__0__3842__RAIL____Total_Day_Count,120__0__449__TZM__416__416
4915,4915,2,0,21__1__446__NBM__205__4__205__4,22__1__446__NBM__30__2__30__2
3000,3000,2,120,1__0__453__TZM__116__1__116__1,19__0__427__TZM__214__214
1001,PARA1,2,0,261__1__400__UZM__720__720,KPL__1__6415__RAIL____Total_Day_Count
1001,PARA1,2,0,261__1__422__UZM__711__711,KPL__1__6459__RAIL____Total_Day_Count
WATE2,9165,2,0,HVL__0__3836__RAIL____Total_Day_Count,130__0__435__TZM__420__420
9416,SILV,2,240,115__0__403__TZM__502__1__502__1,HVL__1__3817__RAIL____Total_Day_Count
PETO2,9001,2,0,HVL__0__3822__RAIL____Total_Day_Count,154__0__405__TZM__406__1__406__1
PETO2,9001,2,0,HVL__0__3832__RAIL____Total_Day_Count,150__0__415__TZM__412__412
PETO2,9001,2,0,HVL__0__3852__RAIL____Total_Day_Count,154__0__419__TZM__406__1__406__1
8165,WATE1,2,0,130__1__406__TZM__411__411,HVL__1__3815__RAIL____Total_Day_Count
4915,4915,2,0,22__1__448__NBM__29__3__29__3,21__1__448__NBM__200__1__200__1
PORI2,2001,2,0,KPL__0__6428__RAIL____Total_Day_Count,210__0__407__TZM__306__1__306__1
1501,WAIK,2,240,280__0__425__UZM__715__715,KPL__1__6463__RAIL____Total_Day_Count
8580,UPPE,2,240,110__1__410__TZM__509__509,HVL__1__3819__RAIL____Total_Day_Count
PARA2,1000,2,0,KPL__0__6436__RAIL____Total_Day_Count,250__0__413__UZM__713__713
8140,WATE1,2,0,160__1__450__TZM__602__1__602__1,HVL__1__3859__RAIL____Total_Day_Count
5915,5915,2,0,21__0__417__NBM__31__2__31__2,22__0__417__NBM__17__2__17__2
4915,4915,2,0,22__1__434__NBM__205__4__205__4,21__1__434__NBM__14__2__14__2
3081,3081,2,120,19__0__401__TZM__209__1__209__1,1__1__412__TZM__212__1__212__1
9416,SILV,2,240,115__0__401__TZM__504__1__504__1,HVL__1__3813__RAIL____Total_Day_Count
2003,PORI1,2,0,226__0__449__TZM__303__1__303__1,KPL__1__6457__RAIL____Total_Day_Count
1001,PARA1,2,0,250__0__401__UZM__712__712,KPL__1__6415__RAIL____Total_Day_Count
7720,7700,2,60,29__0__427__TZM__109__2__109__2,7__1__492__TZM__203__1__203__1
3081,3081,2,120,19__0__411__TZM__214__214,1__1__432__TZM__120__120
2001,PORI1,2,0,226__0__445__TZM__310__310,KPL__1__6451__RAIL____Total_Day_Count
PORI2,2001,2,0,KPL__0__6466__RAIL____Total_Day_Count,220__0__457__TZM__302__1__302__1
9416,SILV,2,240,115__0__423__TZM__502__1__502__1,HVL__1__3857__RAIL____Total_Day_Count
1501,WAIK,2,240,281__0__419__UZM__719__719,KPL__1__6453__RAIL____Total_Day_Count
9001,PETO1,2,0,150__1__416__TZM__415__1__415__1,HVL__1__3833__RAIL____Total_Day_Count
8251,TAIT1,2,0,120__1__460__TZM__419__419,HVL__1__3845__RAIL____Total_Day_Count
5915,5915,2,0,21__0__447__NBM__8__2__8__2,22__0__447__NBM__29__3__29__3
WATE2,9140,2,0,HVL__0__3814__RAIL____Total_Day_Count,170__0__407__TZM__603__1__603__1
2003,PORI1,2,0,220__1__452__TZM__302__1__302__1,KPL__1__6459__RAIL____Total_Day_Count
2001,PORI1,2,0,220__0__453__TZM__311__311,KPL__1__6459__RAIL____Total_Day_Count
4915,4915,2,0,22__1__424__NBM__17__2__17__2,21__1__424__NBM__9__2__9__2
TAIT2,9251,2,0,HVL__0__3860__RAIL____Total_Day_Count,120__0__477__TZM__419__419
3000,3000,2,120,1__0__429__TZM__208__1__208__1,19__0__415__TZM__214__214
8165,WATE1,2,0,130__1__466__TZM__406__1__406__1,HVL__1__3847__RAIL____Total_Day_Count
8251,TAIT1,2,0,120__1__474__TZM__416__416,HVL__1__3855__RAIL____Total_Day_Count
4915,4915,2,0,21__1__448__NBM__200__1__200__1,22__1__448__NBM__29__3__29__3
1501,WAIK,2,240,281__0__411__UZM__702__1__702__1,KPL__1__6437__RAIL____Total_Day_Count
2002,PORI1,2,0,236__1__426__TZM__305__1__305__1,KPL__1__6463__RAIL____Total_Day_Count
5915,5915,2,0,22__0__443__NBM__30__2__30__2,21__0__443__NBM__205__4__205__4
8140,WATE1,2,0,160__1__454__TZM__409__1__409__1,HVL__1__3863__RAIL____Total_Day_Count
5915,5915,2,0,22__0__421__NBM__17__2__17__2,21__0__421__NBM__9__2__9__2
UPPE,8579,2,240,HVL__0__3828__RAIL____Total_Day_Count,110__0__417__TZM__503__1__503__1
8251,TAIT1,2,0,120__1__410__TZM__408__1__408__1,HVL__1__3819__RAIL____Total_Day_Count
8251,TAIT1,2,0,120__1__440__TZM__416__416,HVL__1__3835__RAIL____Total_Day_Count
4915,4915,2,0,22__1__450__NBM__29__3__29__3,21__1__450__NBM__8__2__8__2
4915,4915,2,0,21__1__412__NBM__14__2__14__2,22__1__412__NBM__10__2__10__2
8140,WATE1,2,0,170__0__435__TZM__602__1__602__1,HVL__1__3843__RAIL____Total_Day_Count
TREN,9525,2,240,HVL__0__3834__RAIL____Total_Day_Count,114__1__410__TZM__504__1__504__1
PORI2,2003,2,0,KPL__0__6452__RAIL____Total_Day_Count,220__1__440__TZM__305__1__305__1
WATE2,9165,2,0,HVL__0__3842__RAIL____Total_Day_Count,150__0__423__TZM__412__412
TREN,9525,2,240,HVL__0__3846__RAIL____Total_Day_Count,114__1__416__TZM__507__507
6055,6017,2,240,1__1__508__TZM__113__1__113__1,23__0__431__TZM__112__1__112__1
2001,PORI1,2,0,220__0__457__TZM__302__1__302__1,KPL__1__6463__RAIL____Total_Day_Count
2003,PORI1,2,0,220__1__454__TZM__311__311,KPL__1__6463__RAIL____Total_Day_Count
8140,WATE1,2,0,170__0__415__TZM__602__1__602__1,HVL__1__3823__RAIL____Total_Day_Count
3081,3081,2,120,60__1__444__MNM__2082__2082,1__1__490__TZM__120__120
2001,PORI1,2,0,226__0__449__TZM__303__1__303__1,KPL__1__6455__RAIL____Total_Day_Count
6055,6017,2,240,1__1__430__TZM__206__1__206__1,23__0__409__TZM__108__1__108__1
PORI2,2001,2,0,KPL__0__6440__RAIL____Total_Day_Count,210__0__413__TZM__305__1__305__1
PARA2,1000,2,0,KPL__0__6448__RAIL____Total_Day_Count,250__0__419__UZM__711__711
TREN,9525,2,240,HVL__0__3830__RAIL____Total_Day_Count,114__1__408__TZM__505__1__505__1
6224,6224,2,240,2__1__464__NBM__8__2__8__2,12__0__415__NBM__21__2__21__2
3000,3000,2,120,1__0__435__TZM__210__1__210__1,60__0__421__MNM__2031__2031
WATE2,9140,2,0,HVL__0__3840__RAIL____Total_Day_Count,160__0__429__TZM__605__605
7026,7224,2,240,12__1__408__NBM__18__2__18__2,2__0__431__NBM__20__2__20__2
PORI2,2002,2,0,KPL__0__6460__RAIL____Total_Day_Count,236__0__421__TZM__305__1__305__1
PETO2,9001,2,0,HVL__0__3818__RAIL____Total_Day_Count,154__0__403__TZM__410__410
PETO2,9001,2,0,HVL__0__3848__RAIL____Total_Day_Count,154__0__417__TZM__404__1__404__1
7026,7224,2,240,12__1__452__NBM__24__2__24__2,2__0__545__NBM__28__2__28__2
PORI2,2002,2,0,KPL__0__6470__RAIL____Total_Day_Count,230__0__433__TZM__307__1__307__1
9001,PETO1,2,0,150__1__428__TZM__412__412,HVL__1__3845__RAIL____Total_Day_Count
5915,5915,2,0,22__0__437__NBM__27__2__27__2,21__0__437__NBM__204__4__204__4
2003,PORI1,2,0,226__0__417__TZM__307__1__307__1,KPL__1__6425__RAIL____Total_Day_Count
PARA2,1000,2,0,KPL__0__6432__RAIL____Total_Day_Count,250__0__411__UZM__707__707
3081,3081,2,120,19__0__417__TZM__102__1__102__1,1__1__444__TZM__202__1__202__1
PARA2,1000,2,0,KPL__0__6444__RAIL____Total_Day_Count,250__0__417__UZM__713__713
